"Отметка времени","Ваш вік:","Ваша сфера діяльності чи навчання: ","Чи купуєте або гортаєте ви ілюстровані видання (артбуки, пікчербуки, графічні романи, комікси, манґу) для власного задоволення?","Що для вас найважливіше в книзі?","Як вам більше подобається сприймати приховані сенси в ілюстрованій книзі?  ","Що вас найбільше чіпляє в ілюстрованих виданнях?","З якою метою ви найчастіше купуєте/берете до рук такі видання?","Яка стилістика ілюстрацій вам найбільше відгукується?","Якій кольоровій гамі в ілюстрованих виданнях ви надаєте перевагу?","Як ви ставитеся до різкої зміни колористики всередині книги (наприклад, коли кольорові сторінки змінюються на чорно-білі або навпаки)?  ","Що для вас важливо в самій конструкції видання?","Яку тематичну сувенірну продукцію вам було б приємно отримати в комплекті з книгою?","А тут можна написати будь-що від себе авторці опитування або скинути посилання на улюблений мем 🤍 "
"2026/09/01 4:53:18 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Ні, мені це нецікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Для власної колекції або на подарунок","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки;Металевий пін/значок","Топ 1 мем після завершення навчання 😂 https://pin.it/GwwX53vDS"
"2026/09/01 4:54:40 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Ні, мені це нецікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Інколи цікаво подивитись як персонажа бачить автор, а не так як придумала фантазія читача","Для власної колекції або на подарунок","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Темна, дещо похмура","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/09/01 4:56:30 PM GMT+3","18–24 років","Інше","Не купую, але мені це цікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Захоплива або зворушлива історія (цікавий сюжет, персонажі)","Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Наявність захисної суперобкладинки","Арт-картки/листівки;Стікерпак/наліпки;Закладки",""
"2026/09/01 4:56:34 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі)","Достатньо лише самої книги, без додаткових елементів","❤️"
"2026/09/01 4:56:36 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/09/01 4:56:40 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Пастельна, стримана","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Стікерпак/наліпки;Закладки",""
"2026/09/01 5:02:49 PM GMT+3","18–24 років","Технічна та природнича (IT, інженерія, наука, фінанси, логістика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Металевий пін/значок","Артбуки це одна з найкращих речей, які існують в форматі, подібному до книжного. Дуже зручно, коли в кінці там є посилання на соцмережі художників і художниць, бо так можна знайти нових митців собі в стрічку. А для самих митців це, напевно, непоганий спосіб знайти підписників"
"2026/09/01 5:03:05 PM GMT+3","35+ років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Ні, мені це нецікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі)","Емоційно відпочити та перемкнути увагу","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки",""
"2026/09/01 5:04:18 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Інколи купую під настрій","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Закладки","Нехай щастить🩷"
"2026/09/01 5:06:55 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки","Краще підпишіться на мій телеграм канал https://t.me/k_k_m_bat_art , там багато мемів"
"2026/09/01 5:14:08 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі","Стікерпак/наліпки",""
"2026/09/01 5:19:08 PM GMT+3","25–34 роки","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі)","Арт-картки/листівки;Стікерпак/наліпки","Успіхів :)"
"2026/09/01 6:16:32 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","https://pin.it/2bwBZ8JgQ"
"2026/09/01 6:37:10 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Чорно-біла / монохромна","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки",""
"2026/09/01 7:09:30 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки","Нехай в тебе буде все добре! "
"2026/09/01 8:12:37 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Ні, мені це нецікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки;Закладки;Металевий пін/значок","заходить улітка в бар..."
"2026/09/01 8:29:34 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Відпочити від екрану та інформаційного шуму;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки;Металевий пін/значок","Бажаю успішно захистити дипломну роботу! (⁠◠⁠‿⁠・⁠)⁠—⁠☆"
"2026/09/01 8:52:47 PM GMT+3","До 18 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки;Закладки","маладєц"
"2026/09/01 8:57:38 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки","https://vt.tiktok.com/ZSVKVwdGH/"
"2026/09/01 9:39:52 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/09/01 9:50:49 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Так, купую регулярно","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Пастельна, стримана","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Металевий пін/значок",""
"2026/09/01 11:04:33 PM GMT+3","До 18 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Пастельна, стримана","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки","привіт від першокурсників!!"
"2026/09/02 12:19:28 PM GMT+3","18–24 років","Інше","Не купую, але мені це цікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Пастельна, стримана","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки",""
